Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Lazar Hayward,Marquette,2010,1,30,3,24,SF,72,0,591,8.366666666666667,0.429,0.38599999999999995,0.39633333333333337,2.5333333333333337,12.866666666666667,7.733333333333334,9.566666666666666,1.9333333333333333,0.6,9.033333333333333,18.2,-0.1,0.30000000000000004,0.3,0.02733333333333333,-3.9333333333333336,-0.4666666666666666,-4.433333333333334,-0.30000000000000004,
Liam McNeeley,UConn,2025,1,29,1,20,SF,7,0,83,8.8,0.547,0.667,0.611,4.2,13.0,8.8,13.7,1.1,0.0,14.9,13.3,0.1,0.0,0.1,0.061,-2.6,-0.9,-3.5,0.0,
Lonnie Walker IV,Miami (FL),2018,1,18,3,20,SG,138,50,2628,10.366666666666667,0.492,0.34299999999999997,0.16766666666666666,1.1666666666666667,12.799999999999999,6.966666666666666,9.833333333333334,1.7666666666666666,1.4000000000000001,8.966666666666667,19.7,-0.8,1.7,0.7,0.015666666666666666,-2.733333333333333,-0.4666666666666666,-3.1999999999999997,-1.1,
Lonzo Ball,UCLA,2017,1,2,3,20,PG,162,149,5228,12.433333333333332,0.48266666666666663,0.5326666666666666,0.11399999999999999,3.966666666666667,15.9,9.966666666666667,27.366666666666664,2.233333333333333,1.5666666666666667,19.166666666666668,17.599999999999998,-0.3,6.2,6.0,0.05433333333333334,-0.7333333333333334,1.1666666666666667,0.43333333333333335,3.2,
Lorenzo Brown,NC State,2013,2,52,3,23,PG,63,7,834,7.866666666666667,0.397,0.2996666666666667,0.15566666666666665,2.1666666666666665,11.6,6.766666666666667,26.8,2.6,1.1,19.599999999999998,19.4,-0.7,0.5,-0.2,-0.06666666666666667,-4.6000000000000005,-0.7666666666666666,-5.366666666666667,-0.4,
Luka Garza,Iowa,2021,2,52,3,23,C,85,5,754,20.133333333333336,0.5876666666666667,0.36533333333333334,0.39866666666666667,16.46666666666667,12.166666666666666,14.266666666666666,8.666666666666666,1.1,0.9333333333333332,8.366666666666667,27.099999999999998,1.6,0.6000000000000001,2.3000000000000003,0.15666666666666665,0.7666666666666667,-2.4333333333333336,-1.6666666666666667,0.0,
Luke Babbitt,Nevada,2010,1,16,3,21,SF,126,4,1404,7.233333333333334,0.4566666666666667,0.5433333333333333,0.112,3.633333333333333,19.866666666666664,11.533333333333333,5.966666666666666,0.9333333333333332,0.7666666666666666,11.066666666666668,19.0,0.10000000000000003,0.8,0.9999999999999999,-0.010666666666666663,-3.5333333333333337,-1.6666666666666667,-5.166666666666667,-0.4,6MOY-14
Luke Harangody,Notre Dame,2010,2,52,2,23,PF,70,1,871,10.25,0.4355,0.3215,0.1555,8.5,17.9,13.1,5.949999999999999,1.2999999999999998,1.5,6.15,15.65,0.0,0.7999999999999999,0.8,0.047,-2.3,-1.0,-3.35,-0.4,
Luke Kennard,Duke,2017,1,12,3,21,SG,164,44,3822,12.799999999999999,0.5696666666666667,0.49033333333333334,0.16633333333333333,1.2,12.166666666666666,6.533333333333334,14.733333333333334,1.0,0.6333333333333333,10.633333333333333,18.366666666666667,4.0,3.0,7.0,0.08966666666666667,-0.06666666666666665,-0.6333333333333333,-0.7333333333333334,1.2,
Malachi Flynn,San Diego State,2020,1,29,3,22,PG,144,21,2156,10.433333333333332,0.4836666666666667,0.512,0.14400000000000002,1.7666666666666666,11.700000000000001,6.5,17.866666666666664,1.8,0.7000000000000001,8.566666666666666,17.633333333333333,0.5,1.8,2.3,0.05566666666666667,-2.533333333333333,-0.20000000000000004,-2.733333333333333,-0.4,
