Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
E.J. Liddell,Ohio State,2022,2,41,2024,2,24,CHI,PF,12,0,53,11.1,0.661,0.667,0.133,6.0,11.7,8.9,7.6,0.9,1.6,11.2,14.1,0.1,0.0,0.1,0.108,-2.7,-1.4,-4.1,0.0,
E.J. Liddell,Ohio State,2022,2,41,2025,3,25,BRK,PF,3,0,14,15.8,0.538,0.571,0.143,7.4,44.1,24.2,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.077,0.0,-4.1,-4.1,0.0,
Ed Davis,UNC,2010,1,13,2010,1,21,TOR,PF,65,17,1602,15.8,0.583,0.0,0.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,2.9,1.1,4.0,0.119,-0.2,-0.8,-0.9,0.4,
Ed Davis,UNC,2010,1,13,2011,2,22,TOR,PF,66,9,1534,14.2,0.544,0.003,0.316,10.4,23.0,16.7,6.5,1.4,3.4,14.9,13.8,1.6,2.3,3.9,0.121,-1.2,0.8,-0.3,0.7,
Ed Davis,UNC,2010,1,13,2012,3,23,2TM,PF,81,28,1631,17.8,0.561,0.0,0.346,10.9,22.8,16.7,6.7,1.2,4.2,10.2,17.6,2.9,2.4,5.4,0.159,-0.2,0.4,0.2,0.9,
Edmond Sumner,Xavier,2017,2,52,2017,1,22,IND,PG,1,0,2,39.8,1.0,0.0,0.0,0.0,56.1,28.2,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.425,-2.4,9.3,6.9,0.0,
Edmond Sumner,Xavier,2017,2,52,2018,2,23,IND,PG,23,2,210,7.6,0.443,0.422,0.375,4.9,7.8,6.3,6.3,2.8,2.1,11.8,17.6,-0.2,0.3,0.1,0.02,-5.8,0.5,-5.3,-0.2,
Edmond Sumner,Xavier,2017,2,52,2019,3,24,IND,SG,31,3,447,10.1,0.491,0.373,0.204,2.7,8.5,5.6,16.7,1.6,1.8,12.4,17.3,-0.1,0.5,0.4,0.047,-3.1,0.2,-2.9,-0.1,
Egor Demin,BYU,2025,1,8,2025,1,19,BRK,PG,8,1,155,9.0,0.492,0.818,0.091,2.7,15.9,8.7,22.8,2.5,1.2,20.8,15.5,-0.1,0.0,-0.1,-0.017,-2.9,-0.3,-3.3,0.0,
Ekpe Udoh,Baylor,2010,1,6,2010,1,23,GSW,C,58,18,1030,9.7,0.472,0.0,0.288,8.6,11.4,10.0,5.4,1.1,6.4,16.1,12.8,0.0,0.7,0.7,0.032,-4.4,0.6,-3.8,-0.5,
Ekpe Udoh,Baylor,2010,1,6,2011,2,24,2TM,C,61,11,1290,12.5,0.493,0.007,0.386,8.6,13.5,11.0,6.4,1.6,6.0,13.3,14.0,0.9,1.2,2.1,0.077,-2.9,1.3,-1.5,0.2,
Ekpe Udoh,Baylor,2010,1,6,2012,3,25,MIL,C,76,9,1312,12.0,0.503,0.004,0.442,8.9,11.7,10.3,4.7,1.5,4.7,11.8,12.1,1.1,1.5,2.7,0.098,-2.8,1.1,-1.7,0.1,
Elfrid Payton,Louisiana,2014,1,10,2014,1,20,ORL,PG,82,63,2489,13.8,0.456,0.059,0.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0.0,2.3,2.3,0.044,-1.5,0.3,-1.2,0.5,ROY-4
Elfrid Payton,Louisiana,2014,1,10,2015,2,21,ORL,PG,73,69,2145,13.9,0.478,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,0.5,1.7,2.2,0.05,-0.7,-0.6,-1.2,0.4,
Elfrid Payton,Louisiana,2014,1,10,2016,3,22,ORL,PG,82,58,2412,17.2,0.52,0.16,0.231,3.9,13.9,8.7,35.7,1.8,1.3,15.0,21.6,2.4,2.0,4.4,0.088,0.8,0.0,0.8,1.7,
