Player,DraftStatus,DraftYear,DraftRound,DraftPick,Rk,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jordan McRae,Drafted,2014.0,2,58,5175,2016,2,25,CLE,SG,37,4,384,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1.0,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-2.6,-1.1,-3.7,-0.2,
Jordan McRae,Drafted,2014.0,2,58,4150,2018,3,27,WAS,SG,27,0,333,14.3,0.55,0.269,0.269,1.9,11.3,6.5,13.2,1.8,1.8,9.4,20.4,0.3,0.2,0.5,0.066,-0.9,-0.8,-1.7,0.0,
Jordan McRae,Drafted,2014.0,2,58,3612,2019,4,28,3TM,SG,37,4,784,14.2,0.515,0.344,0.298,2.4,15.4,8.7,17.9,1.3,1.8,9.4,24.4,0.4,0.4,0.7,0.044,0.0,-1.5,-1.5,0.1,
Jordan Mickey,Drafted,2015.0,2,33,5664,2015,1,21,BOS,PF,16,0,57,15.3,0.398,0.0,0.455,11.0,13.3,12.1,2.6,0.0,15.1,3.6,20.5,0.0,0.1,0.1,0.068,-2.6,1.1,-1.5,0.0,
Jordan Mickey,Drafted,2015.0,2,33,5179,2016,2,22,BOS,PF,25,1,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-3.9,-0.8,-4.7,-0.1,
Jordan Mickey,Drafted,2015.0,2,33,4674,2017,3,23,MIA,PF,23,3,284,10.6,0.515,0.195,0.232,7.1,24.9,16.0,4.8,1.1,3.0,16.6,17.1,-0.1,0.4,0.3,0.054,-5.2,-0.3,-5.6,-0.3,
Jordan Miller,Drafted,2023.0,2,48,1255,2023,1,24,LAC,SF,8,0,28,14.1,0.658,0.222,0.222,12.5,7.8,10.1,0.0,0.0,0.0,9.2,17.0,0.1,0.0,0.1,0.116,0.4,-4.2,-3.8,0.0,
Jordan Miller,Drafted,2023.0,2,48,683,2024,2,25,LAC,SF,37,0,420,10.5,0.509,0.284,0.261,6.3,9.3,7.8,11.2,2.0,1.2,14.8,18.2,-0.1,0.5,0.4,0.049,-3.0,0.2,-2.8,-0.1,
Jordan Nwora,Drafted,2020.0,2,45,3115,2020,1,22,MIL,SF,30,2,274,16.1,0.586,0.459,0.185,3.6,18.9,11.5,3.6,2.7,2.3,14.1,26.0,0.0,0.4,0.4,0.068,-0.7,-0.4,-1.1,0.1,
Jordan Nwora,Drafted,2020.0,2,45,2324,2021,2,23,MIL,SF,62,13,1185,9.9,0.506,0.491,0.093,3.4,16.1,9.9,7.0,1.0,1.4,10.6,19.4,-0.4,1.1,0.6,0.025,-2.7,-1.5,-4.1,-0.6,
Jordan Nwora,Drafted,2020.0,2,45,1964,2022,3,24,2TM,SF,62,14,1188,12.2,0.561,0.474,0.193,4.7,15.8,10.4,10.5,1.0,1.0,12.0,19.4,0.5,1.0,1.5,0.06,-0.8,-1.3,-2.1,0.0,
Jordan Nwora,Drafted,2020.0,2,45,1217,2023,4,25,2TM,SF,52,1,712,13.7,0.565,0.438,0.177,4.3,19.1,11.6,12.3,1.8,1.6,14.1,22.4,-0.1,0.6,0.5,0.034,-1.1,-1.5,-2.5,-0.1,
Jordan Poole,Drafted,2019.0,1,28,3686,2019,1,20,GSW,SG,57,14,1274,7.2,0.454,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5,
Jordan Poole,Drafted,2019.0,1,28,3147,2020,2,21,GSW,SG,51,7,988,15.1,0.581,0.582,0.251,1.6,8.2,5.0,15.4,1.2,0.8,8.8,25.0,1.1,0.9,1.9,0.094,0.7,-1.2,-0.5,0.4,
Jordan Poole,Drafted,2019.0,1,28,2291,2021,3,22,GSW,SG,76,51,2283,16.1,0.598,0.548,0.251,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,3.1,2.9,6.0,0.126,1.3,-0.3,1.0,1.7,
Jordan Poole,Drafted,2019.0,1,28,1984,2022,4,23,GSW,PG,82,43,2458,14.6,0.573,0.498,0.325,1.5,8.5,5.0,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,
Jordan Poole,Drafted,2019.0,1,28,1194,2023,5,24,WAS,SG,78,66,2346,12.1,0.529,0.476,0.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2,
Jordan Poole,Drafted,2019.0,1,28,623,2024,6,25,WAS,SG,68,68,2001,16.6,0.591,0.588,0.259,1.6,9.0,5.3,25.6,2.0,1.2,14.8,29.0,1.2,0.8,2.0,0.047,2.0,-1.6,0.4,1.2,
Jordan Poole,Drafted,2019.0,1,28,147,2025,7,26,NOP,PG,7,4,212,11.4,0.535,0.596,0.323,1.4,5.0,3.1,17.9,0.5,1.0,11.7,25.5,0.1,-0.1,0.0,-0.004,-0.6,-3.9,-4.5,-0.1,
Jordan Schakel,Undrafted,,,,2250,2021,1,23,WAS,SG,4,0,30,-1.2,0.21,0.545,0.182,7.5,21.8,14.8,0.0,1.6,0.0,7.8,19.1,-0.2,0.0,-0.1,-0.204,-8.6,-4.3,-13.0,-0.1,
Jordan Schakel,Undrafted,,,,2028,2022,2,24,WAS,SF,2,0,6,24.3,0.75,0.5,0.0,0.0,0.0,0.0,23.5,8.1,0.0,0.0,14.5,0.0,0.0,0.0,0.314,7.7,9.3,17.0,0.0,
Jordan Sibert,Undrafted,,,,4257,2018,1,26,ATL,SG,1,0,4,29.7,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.183,13.7,2.2,16.0,0.0,
Jordan Walsh,Drafted,2023.0,2,38,1068,2023,1,19,BOS,SF,9,1,83,8.4,0.472,0.6,0.133,6.8,18.7,13.0,7.2,3.0,1.1,15.9,9.9,0.0,0.2,0.2,0.089,-5.6,1.8,-3.8,0.0,
Jordan Walsh,Drafted,2023.0,2,38,495,2024,2,20,BOS,PF,52,1,403,6.9,0.464,0.663,0.145,6.2,12.4,9.3,6.0,1.5,2.5,16.1,11.5,-0.2,0.5,0.4,0.044,-4.4,0.5,-3.9,-0.2,
Jordan Walsh,Drafted,2023.0,2,38,308,2025,3,21,BOS,PF,6,0,67,12.1,0.559,0.471,0.0,11.0,16.8,13.8,4.0,2.2,1.5,10.5,12.0,0.1,0.1,0.2,0.11,-2.2,-1.0,-3.3,0.0,
Jordan Williams,Drafted,2011.0,2,36,7747,2011,1,21,NJN,C,43,5,635,14.5,0.544,0.0,0.434,11.7,16.9,14.3,2.9,1.8,1.8,11.3,14.7,1.0,0.4,1.3,0.101,-0.9,-1.2,-2.1,0.0,
Jorge Gutiérrez,Undrafted,,,,6515,2013,1,25,BRK,PG,15,2,244,8.7,0.523,0.222,0.222,1.5,9.3,5.4,19.4,2.2,0.3,19.1,14.1,0.1,0.2,0.2,0.048,-4.7,-0.2,-4.9,-0.2,
Jorge Gutiérrez,Undrafted,,,,6033,2014,2,26,2TM,PG,20,1,175,11.0,0.567,0.073,0.317,3.3,12.9,8.1,19.6,1.8,0.0,20.4,15.2,0.1,0.2,0.3,0.088,-4.5,1.0,-3.5,-0.1,
Jorge Gutiérrez,Undrafted,,,,5538,2015,3,27,CHO,PG,12,0,63,19.2,0.694,0.182,1.0,0.0,12.3,6.1,40.3,2.4,0.0,27.5,15.6,0.2,0.1,0.3,0.201,-0.3,0.8,0.6,0.0,
Jose Alvarado,Undrafted,,,,2643,2021,1,23,NOP,PG,54,1,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1.0,1.1,2.1,0.121,-0.5,2.4,1.9,0.8,
Jose Alvarado,Undrafted,,,,1605,2022,2,24,NOP,PG,61,10,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,
Jose Alvarado,Undrafted,,,,1532,2023,3,25,NOP,PG,56,0,1028,12.5,0.54,0.6,0.151,2.7,11.0,6.9,15.3,2.8,1.4,9.8,17.3,0.6,1.5,2.1,0.097,-1.5,1.5,-0.1,0.5,6MOY-6
Jose Alvarado,Undrafted,,,,963,2024,4,26,NOP,PG,56,23,1366,13.4,0.523,0.593,0.142,2.1,8.9,5.4,27.3,2.6,1.0,13.4,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2,
Jose Alvarado,Undrafted,,,,229,2025,5,27,NOP,PG,8,0,143,15.6,0.648,0.692,0.154,2.1,15.8,8.4,19.7,2.4,0.0,8.8,13.5,0.3,0.1,0.4,0.125,0.8,0.4,1.1,0.1,
Josh Akognon,Undrafted,,,,6819,2012,1,26,DAL,PG,3,0,9,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.196,-3.1,0.1,-3.0,0.0,
